text,label,source
এরা নর্দমার পোকা,hate,bengali_dataset
Happy birthday! Wishing you the best,neutral,english_dataset
నీ లాంటి మురికి వాళ్ళకి ఇక్కడ చోటు లేదు,hate,telugu_dataset
সমকামীরা পাগল আর অসুস্থ,hate,bengali_dataset
muslims sab deshdrohii hain,hate,hindi_hinglish_dataset
mee caste vallu eppudu backward untaru,hate,telugu_dataset
বাগানে নতুন ফুল ফুটেছে,neutral,bengali_dataset
Can't believe they let someone this clueless be in charge,offensive,english_dataset
వీళ్ళు మురుగు కాలువ పురుగులు,hate,telugu_dataset
तेरी शक्ल देखकर हंसी आती है,offensive,hindi_hinglish_dataset
The customer service here is absolutely terrible,offensive,english_dataset
tum jaise kale log ugly hote hain,hate,hindi_hinglish_dataset
ee valasa vallu mana jobs dongilistunnaru,hate,telugu_dataset
team ne aaj bahut acha perform kiya,neutral,hindi_hinglish_dataset
তুই বিরাট বোকা রে,offensive,bengali_dataset
You're acting like a total brat right now,offensive,english_dataset
People with mental illness should be institutionalized permanently,hate,english_dataset
ఈ కంపెనీలో పని చేయడం హింస,offensive,telugu_dataset
The world would be better without your kind,hate,english_dataset
তোর রান্না খেয়ে পেট খারাপ হল,offensive,bengali_dataset
muslims andaru deshadrohulu,hate,telugu_dataset
That comedian absolutely destroyed the audience with laughter,neutral,english_dataset
"nee coding skills zero ra, learn something",offensive,telugu_dataset
andariki samaana avakashalu ravaali,neutral,telugu_dataset
Your handwriting looks like a chicken walked on paper,offensive,english_dataset
tum jaise logo ko desh se nikaal dena chahiye,hate,hindi_hinglish_dataset
ee bhiksagallu chachchipothe bagundu,hate,telugu_dataset
nee lanti muriki vallaki ikkada chotu ledu,hate,telugu_dataset
auraton ki koi akal nahi hoti,hate,hindi_hinglish_dataset
এই জাতের লোক কোনোদিন উন্নতি করতে পারবে না,hate,bengali_dataset
inke khoon bahana chahiye,hate,hindi_hinglish_dataset
পরিবারের সাথে সময় কাটানো ভালো লাগে,neutral,bengali_dataset
পাগল নাকি তুই,offensive,bengali_dataset
Racial tensions escalate in the city,neutral,context_dataset
तुझसे बड़ा वाहियात कोई नहीं,offensive,hindi_hinglish_dataset
noru moosukov gadidha,offensive,telugu_dataset
ये बिहारी लोग हमारे शहर गंदा कर रहे हैं,hate,hindi_hinglish_dataset
ক্রিকেট ম্যাচটা খুব উত্তেজনাপূর্ণ ছিল,neutral,bengali_dataset
"Great job on the presentation, very impressive work",neutral,english_dataset
"এরা সব পরজীবী, কোনো কাজের না",hate,bengali_dataset
তোদের সম্প্রদায় সমাজের ক্যান্সার,hate,bengali_dataset
Muslims are all potential terrorists,hate,english_dataset
This exam is killing me right now,offensive,context_dataset
nee matham vallu andaru ugravadulu,hate,telugu_dataset
dalitulaku etuvanti hakkulu undakoodadu,hate,telugu_dataset
Smash every obstacle in your way,neutral,context_dataset
Your kind is a disease to society,hate,english_dataset
andariki prema mariyu gauravam ivvandi,neutral,telugu_dataset
মহিলাদের ভোট দেওয়ার অধিকার থাকা উচিত না,hate,bengali_dataset
What a nightmare of a day,offensive,english_dataset
kalisi pani chesthe anni saadhyame,neutral,telugu_dataset
"What a stupid comment, think before you speak",offensive,english_dataset
এরা সমাজের পোকা মাকড়,hate,bengali_dataset
Report reveals widespread discrimination in hiring,neutral,context_dataset
আজকের দিনটা খুব সুন্দর,neutral,bengali_dataset
এদের রক্ত ঝরানো উচিত,hate,bengali_dataset
you are a disgrace to Telugu culture,hate,telugu_dataset
जीवन बहुत सुंदर है,neutral,hindi_hinglish_dataset
এদের সবাইকে মেরে ফেলা উচিত,hate,bengali_dataset
వీళ్ళందరినీ నాశనం చేయాలి,hate,telugu_dataset
pagal hai kya tu poora,offensive,hindi_hinglish_dataset
নতুন কিছু শেখা সবসময় ভালো,neutral,bengali_dataset
Terrorist organizations continue to threaten national security,neutral,context_dataset
ye sab keede makode hain society ke,hate,hindi_hinglish_dataset
The concert last night was absolutely phenomenal,neutral,english_dataset
কত নিচু মানুষ তুই,offensive,bengali_dataset
vidya andari hakku,neutral,telugu_dataset
Autistic people shouldn't be in regular schools,hate,english_dataset
কি বাজে কথা বলছিস,offensive,bengali_dataset
এদের জ্বালিয়ে দেওয়া উচিত,hate,bengali_dataset
em telivi takkuva system idi,offensive,telugu_dataset
Police arrested the suspect for hate crimes,neutral,context_dataset
এই কোম্পানিতে কাজ করা অত্যাচার,offensive,bengali_dataset
They are invading our country like cockroaches,hate,english_dataset
తోటలో కొత్త పువ్వులు పూశాయి,neutral,telugu_dataset
"Get rekt noob, you can't beat me",offensive,context_dataset
Hate crime statistics show alarming increase,neutral,context_dataset
Immigrants steal jobs and spread disease,hate,english_dataset
Indigenous people are savages who couldn't build civilization,hate,english_dataset
All [ethnic group] are terrorists and criminals,hate,english_dataset
మీ సమాజం సమాజానికి క్యాన్సర్,hate,telugu_dataset
నీ లాంటి వాళ్లను దేశం నుండి తరిమేయాలి,hate,telugu_dataset
LGBTQ लोग पागल और बीमार हैं,hate,hindi_hinglish_dataset
That's the ugliest thing I've ever seen,offensive,english_dataset
This traffic is making me want to kill myself,offensive,english_dataset
nuvvu okatambar veshagadivi,offensive,telugu_dataset
coding mein naye concepts seekhna exciting hai,neutral,context_dataset
family ke saath time spend karna bahut acha lagta hai,neutral,hindi_hinglish_dataset
She absolutely killed that dance performance,neutral,context_dataset
Your cooking is absolutely disgusting,offensive,english_dataset
People with dark skin are inherently violent,hate,english_dataset
"festival shopping ayindi, chala enjoy chesam",neutral,telugu_dataset
బాస్ ఈ రోజు బుర్ర తినేశాడు,offensive,telugu_dataset
నీ కంటే చెత్త ఇంకెవరు లేరు,offensive,telugu_dataset
The bombing killed dozens of civilians,neutral,context_dataset
LGBTQ people pagal aur beemar hain,hate,hindi_hinglish_dataset
They should be exterminated from this country,hate,english_dataset
Kill your ego before it kills your growth,neutral,context_dataset
These people are genetically inferior,hate,english_dataset
शिक्षा सबका अधिकार है,neutral,hindi_hinglish_dataset
This deadline is murdering my sleep schedule,neutral,english_dataset
Someone should kill these people,hate,context_dataset
ఎంత దిగజారిన మనిషివి నువ్వు,offensive,telugu_dataset
Your culture is barbaric and primitive,hate,english_dataset
The new policy benefits everyone equally,neutral,english_dataset
"You're a joke, nobody takes you seriously",offensive,english_dataset
Get lost you weirdo,offensive,english_dataset
She's killing the game with her skills,neutral,context_dataset
kutumbamtho samayam gadapadam baguntundi,neutral,telugu_dataset
You're embarrassing yourself right now,offensive,english_dataset
Life is too beautiful to waste on negativity,neutral,english_dataset
Team absolutely demolished the opposition today,neutral,context_dataset
The crowd went wild when the team scored,neutral,english_dataset
तुम जैसे गंदे लोगों की कोई जगह नहीं,hate,hindi_hinglish_dataset
The sunset looks absolutely stunning today,neutral,english_dataset
आज का दिन बहुत अच्छा है,neutral,hindi_hinglish_dataset
నీ జాతి వాళ్ళు ఏ పనికీ రారు,hate,telugu_dataset
ये गाना सुनकर कान से खून आ गया,offensive,hindi_hinglish_dataset
I believe in equality for all people,neutral,english_dataset
"This is bullshit, pure and simple",offensive,english_dataset
veellandarini naasanam cheyaali,hate,telugu_dataset
These prices are killing my budget this month,neutral,english_dataset
ট্রাফিকের জন্য মাথা ফেটে যাচ্ছে,offensive,bengali_dataset
"You're so annoying, just go away",offensive,english_dataset
"ye film dekhke dimag kharab ho gaya, bakwas",offensive,context_dataset
aaj ka din bahut acha hai,neutral,hindi_hinglish_dataset
That joke was so bad it physically hurt,offensive,english_dataset
tumhari community cancer hai society ka,hate,hindi_hinglish_dataset
Supporting local businesses strengthens our community,neutral,english_dataset
চা খেতে খেতে বৃষ্টি দেখা ভালো লাগে,neutral,bengali_dataset
War crimes tribunal convicts former leader,neutral,context_dataset
ఈ రోజు సూర్యాస్తమయం అద్భుతంగా ఉంది,neutral,telugu_dataset
Just planted some new flowers in the garden,neutral,english_dataset
তোদের মতো নোংরা লোকের কোনো জায়গা নেই,hate,bengali_dataset
आज खाना बहुत स्वादिष्ट बना,neutral,hindi_hinglish_dataset
"వీళ్ళు మనుషులు కాదు, జంతువులు",hate,telugu_dataset
tu bahut bada bewkoof hai yaar,offensive,hindi_hinglish_dataset
Your religion is evil and should be banned,hate,english_dataset
You're nothing but a worthless piece of trash because of your race,hate,english_dataset
Fat people are disgusting and have no self control,hate,english_dataset
నీ లాంటి నల్లవాళ్ళు అసహ్యం,hate,telugu_dataset
They breed like animals and should be sterilized,hate,english_dataset
Meditation has completely changed my perspective on life,neutral,english_dataset
দলিতদের কোনো অধিকার থাকা উচিত না,hate,bengali_dataset
నీ కులం వాళ్లు అందరూ దొంగలు,hate,telugu_dataset
"Thanks for nothing, really appreciate it",offensive,context_dataset
"You should die, nobody wants you here",hate,context_dataset
কি বোকামি এই সিস্টেম,offensive,bengali_dataset
tumhari caste ke log sab chor hain,hate,hindi_hinglish_dataset
These refugees are ruining our beautiful country,hate,english_dataset
టీ తాగుతూ వర్షం చూడటం బాగుంటుంది,neutral,telugu_dataset
इनको मार डालना चाहिए सबको,hate,hindi_hinglish_dataset
तुम जैसे लोगों को देश से निकाल देना चाहिए,hate,hindi_hinglish_dataset
Stop being such a crybaby about everything,offensive,english_dataset
నీ మతం వల్లే దేశం పాడవుతోంది,hate,telugu_dataset
repu vaataavaranam baguntundi,neutral,telugu_dataset
Every culture has something beautiful to offer,neutral,english_dataset
Shut up you moron,offensive,english_dataset
Slay your fears and be brave,neutral,context_dataset
Go back to your country you filthy animal,hate,english_dataset
Gay people are disgusting and deserve punishment,hate,english_dataset
ये भिखारी लोग मर क्यों नहीं जाते,hate,hindi_hinglish_dataset
"nuvvu pichi vadivi, neeku brathakataniki arham ledu",hate,telugu_dataset
People like you deserve to die,hate,english_dataset
క్రికెట్ మ్యాచ్ చాలా ఉత్కంఠభరితంగా ఉంది,neutral,telugu_dataset
That was a killer move in chess,neutral,context_dataset
education sabka right hai,neutral,hindi_hinglish_dataset
Be the beast mode version of yourself,neutral,context_dataset
These people are subhuman and don't deserve rights,hate,english_dataset
Stop wasting everyone's time with your nonsense,offensive,english_dataset
I will kill it on stage tonight with my performance,neutral,english_dataset
Explode with positivity in everything you do,neutral,context_dataset
ye traffic ki wajah se sir phata ja raha,offensive,hindi_hinglish_dataset
Our team got slaughtered in the finals,neutral,context_dataset
Your people contributed nothing to civilization,hate,english_dataset
That movie was so trash I want my time back,offensive,english_dataset
Let's work together to make the world a better place,neutral,english_dataset
"veellu manushulu kaadu, janthuvulu",hate,telugu_dataset
ये सब कीड़े मकोड़े हैं समाज के,hate,hindi_hinglish_dataset
this weather is killing my mood but still good day,offensive,telugu_dataset
इन लोगों को जिंदा जला देना चाहिए,hate,hindi_hinglish_dataset
వీళ్ళ రక్తం చిందించాలి,hate,telugu_dataset
kotha pustakam chadivi chala bagundi,neutral,telugu_dataset
"What a bloodbath of a match, incredible gameplay",neutral,context_dataset
వీళ్ళను తగలబెట్టాలి,hate,telugu_dataset
"You have zero talent, stop embarrassing yourself",offensive,english_dataset
nee lanti nallavallu asahyam,hate,telugu_dataset
This code is so bad it gave me a headache,offensive,english_dataset
This spice level is killing my taste buds,neutral,context_dataset
nee jaathi vallu em paniki raaru,hate,telugu_dataset
The sunrise from the mountain top was breathtaking,neutral,english_dataset
jeevan bahut sundar hai,neutral,hindi_hinglish_dataset
coding seekhna bahut fascinating hai,neutral,hindi_hinglish_dataset
"Just completed my first marathon, what an achievement",neutral,english_dataset
परिवार के साथ समय बिताना बहुत अच्छा लगता है,neutral,hindi_hinglish_dataset
कल का मौसम बहुत अच्छा रहेगा,neutral,hindi_hinglish_dataset
ee company lo pani cheyadam himsa,offensive,telugu_dataset
chup ho ja gadhe,offensive,hindi_hinglish_dataset
Mass shooting reported at local shopping center,neutral,context_dataset
All homeless people are drug addicts by choice,hate,english_dataset
तुम जैसे काले लोग बदसूरत होते हैं,hate,hindi_hinglish_dataset
విదేశీయులను ఇక్కడ నుండి తరమండి,hate,telugu_dataset
entha digajarina manishivi nuvvu,offensive,telugu_dataset
morning walk ki velte health ga untundi,neutral,telugu_dataset
मिलकर काम करने से सब संभव है,neutral,hindi_hinglish_dataset
I could punch this computer right now,offensive,english_dataset
ee bihari vallu mana city ni muriki chestunnaru,hate,telugu_dataset
Disabled people are a burden on society,hate,english_dataset
"ye gaana sunke pagal ho gaya, kitna acha hai",neutral,context_dataset
"What a loser, get a life",offensive,english_dataset
Learning a new language opens up so many opportunities,neutral,english_dataset
You people have no common sense whatsoever,offensive,english_dataset
Government condemns recent acts of violence,neutral,context_dataset
What a savage play by the quarterback,neutral,context_dataset
boss ne aaj dimag kha liya,offensive,hindi_hinglish_dataset
What a clown show this meeting was,offensive,english_dataset
ఈ వలస వాళ్ళు మన ఉద్యోగాలు దొంగిలిస్తున్నారు,hate,telugu_dataset
ये खाना खाकर मर जाऊंगा,offensive,hindi_hinglish_dataset
"This curry is fire, absolutely delicious",neutral,context_dataset
Art has the power to bring people together,neutral,english_dataset
veellanu tagalabettaali,hate,telugu_dataset
The attack resulted in multiple casualties,neutral,context_dataset
aaj khana bahut tasty bana,neutral,hindi_hinglish_dataset
ye beggars mar kyu nahi jaate,hate,hindi_hinglish_dataset
aaj khana itna acha hai ki mar jaunga,neutral,context_dataset
सबको बराबर का मौका मिलना चाहिए,neutral,hindi_hinglish_dataset
"এ কি বাজে ডিজাইন, চোখ জ্বলছে",offensive,bengali_dataset
కలిసి పని చేస్తే అన్నీ సాధ్యమే,neutral,telugu_dataset
I will kill it on stage tonight,neutral,context_dataset
The new library has an amazing collection of books,neutral,english_dataset
"Never give up, fight for your dreams",neutral,context_dataset
The weather today is really beautiful,neutral,english_dataset
Poor people are poor because they're lazy and stupid,hate,english_dataset
నీ మతం వాళ్ళు అందరూ ఉగ్రవాదులు,hate,telugu_dataset
People of your skin color are all criminals,hate,english_dataset
মেয়েদের কোনো বুদ্ধি নেই,hate,bengali_dataset
বস আজ মাথা খেয়ে নিল,offensive,bengali_dataset
তোর চেহারা দেখে হাসি পায়,offensive,bengali_dataset
Old people should just die and stop wasting resources,hate,english_dataset
"I hate all immigrants, they should be deported",hate,english_dataset
"స్వలింగ సంపర్కులు పిచ్చివాళ్ళు, రోగులు",hate,telugu_dataset
kitna gira hua insaan hai tu,offensive,hindi_hinglish_dataset
Are you deaf or just choosing to ignore me?,offensive,english_dataset
You are stronger than any battle you face,neutral,context_dataset
আজ রান্না খুব সুস্বাদু হয়েছে,neutral,bengali_dataset
You're the definition of incompetence,offensive,english_dataset
nayi book padhke bahut acha laga,neutral,hindi_hinglish_dataset
"festival ki shopping ho gayi, bahut maza aaya",neutral,hindi_hinglish_dataset
Your accent makes you sound like a monkey,hate,english_dataset
এত খারাপ সিনেমা জীবনে দেখিনি,offensive,bengali_dataset
నీ కులం నీచం,hate,telugu_dataset
What a waste of space,offensive,english_dataset
Volunteering at the shelter is incredibly rewarding,neutral,english_dataset
I appreciate the diversity in our community,neutral,english_dataset
nee kulam neecham,hate,telugu_dataset
তোর ধর্মের লোক সব সন্ত্রাসী,hate,bengali_dataset
This new movie has an incredible storyline,neutral,english_dataset
ee paata vini chevulu pagilaayi,offensive,telugu_dataset
"Oh great, another wonderful Monday morning",neutral,context_dataset
I swear this app was made by monkeys,offensive,english_dataset
నీ మొహం చూస్తే నవ్వు వస్తుంది,offensive,telugu_dataset
What a dumpster fire of a presentation,offensive,english_dataset
Jews control the media and the banks,hate,english_dataset
Demolish negativity from your life,neutral,context_dataset
तुम्हारी जाति के लोग सब चोर हैं,hate,hindi_hinglish_dataset
Your taste in music is absolute garbage,offensive,english_dataset
স্বেচ্ছাসেবীরা সমাজের জন্য অনেক কিছু করে,neutral,bengali_dataset
সবাইকে ভালোবাসা আর সম্মান দাও,neutral,bengali_dataset
তোর চেয়ে বাজে আর কেউ নেই,offensive,bengali_dataset
"Just finished a great workout, feeling energized",neutral,english_dataset
क्या बकवास कर रहा है तू,offensive,hindi_hinglish_dataset
God you're pathetic,offensive,english_dataset
picchaa neeku poorthiga,offensive,telugu_dataset
চুপ কর গাধা,offensive,bengali_dataset
దళితులకు ఎటువంటి హక్కులు ఉండకూడదు,hate,telugu_dataset
My boss is the worst human being alive,offensive,english_dataset
I'm grateful for all the good in my life,neutral,english_dataset
Music transcends all boundaries and connects people,neutral,english_dataset
"All women belong in the kitchen, they're useless otherwise",hate,english_dataset
ఏం చెత్త మాట్లాడుతున్నావ్,offensive,telugu_dataset
uske pass koi talent nahi hai bilkul,offensive,context_dataset
সকালে হাঁটলে শরীর ভালো থাকে,neutral,bengali_dataset
usne stage pe aag laga di,neutral,context_dataset
"The chef murdered that steak, perfectly cooked",neutral,context_dataset
ee roju vanta chala ruchiga ayindi,neutral,telugu_dataset
তোর জাত নিচু,hate,bengali_dataset
तू बहुत बड़ा बेवकूफ है यार,offensive,hindi_hinglish_dataset
పాటలు వింటే మనసు ప్రశాంతంగా ఉంటుంది,neutral,telugu_dataset
উৎসবের আমেজে সবাই আনন্দিত,neutral,bengali_dataset
ये मुसलमान सब देशद्रोही हैं,hate,hindi_hinglish_dataset
তোর মতো কালো লোক কুৎসিত,hate,bengali_dataset
"Death to all of them, every single one",hate,english_dataset
পরীক্ষাটা আমাকে মেরে ফেলছে,offensive,bengali_dataset
వీళ్ళందరినీ చంపేయాలి,hate,telugu_dataset
విద్య అందరి హక్కు,neutral,telugu_dataset
మీ సంస్కృతి అనాగరికం,hate,telugu_dataset
"I hate this weather so much, it's disgusting",offensive,english_dataset
She's on fire today with her basketball skills,neutral,english_dataset
ఈ భోజనం తిని చచ్చిపోతాను,offensive,telugu_dataset
నువ్వు ఒకటంబర్ వేషగాడివి,offensive,telugu_dataset
kya bakwas kar raha hai tu,offensive,hindi_hinglish_dataset
This whole system is broken and useless,offensive,english_dataset
You're delusional if you think that's true,offensive,english_dataset
I'm so done with these clowns in management,offensive,english_dataset
तुम्हारे धर्म के लोग आतंकवादी हैं,hate,hindi_hinglish_dataset
అందరికీ ప్రేమ మరియు గౌరవం ఇవ్వండి,neutral,telugu_dataset
Education is the key to a better future,neutral,english_dataset
"ee movie flop ayindi, director ki sense ledu",offensive,telugu_dataset
జీవితం చాలా అందమైనది,neutral,telugu_dataset
औरतों की कोई अक्ल नहीं होती,hate,hindi_hinglish_dataset
saale ko kuch nahi aata kaam,offensive,hindi_hinglish_dataset
"Good morning everyone, have a wonderful day ahead",neutral,english_dataset
Can you just shut your mouth for once,offensive,english_dataset
We should build walls to keep these vermin out,hate,english_dataset
"এত বোরিং ক্লাস, ঘুম পাচ্ছে",offensive,bengali_dataset
"This food tastes like cardboard, worst restaurant ever",offensive,english_dataset
nee lanti vallanu desham nundi tarimeyali,hate,telugu_dataset
Your traditions are backward and uncivilized,hate,english_dataset
ये foreigners को भगाओ यहाँ से,hate,hindi_hinglish_dataset
The park is so peaceful early in the morning,neutral,english_dataset
"Oh fantastic, the printer is jammed again",neutral,context_dataset
নতুন বই পড়ে খুব ভালো লাগল,neutral,bengali_dataset
ఈ భిక్షగాళ్ళు చచ్చిపోతే బాగుండు,hate,telugu_dataset
তোর জাতের লোক সব চোর,hate,bengali_dataset
em chetta maatladutunnav,offensive,telugu_dataset
coding nerchukovadam chala fascinating,neutral,telugu_dataset
শিক্ষা সবার অধিকার,neutral,bengali_dataset
nee matham valle desham paadavutundi,hate,telugu_dataset
I want to kill you and your family,hate,context_dataset
I can't stand people like you who whine all the time,offensive,english_dataset
এই খাবার খেয়ে মরে যাব,offensive,bengali_dataset
My dog learned a new trick today and I'm so proud,neutral,english_dataset
milke kaam karne se sab possible hai,neutral,hindi_hinglish_dataset
Fight through the darkness to find the light,neutral,context_dataset
teri shakal dekh ke hansi aati hai,offensive,hindi_hinglish_dataset
jeevitham chala andamainadi,neutral,telugu_dataset
কাল আবহাওয়া খুব ভালো থাকবে,neutral,bengali_dataset
ye khana khaake mar jaunga,offensive,hindi_hinglish_dataset
Reading about history helps us understand the present,neutral,english_dataset
I love spending time with my family on weekends,neutral,english_dataset
এই ভিখারিগুলো মরে যায় না কেন,hate,bengali_dataset
"tum gande log ho, tumhari koi jagah nahi",hate,hindi_hinglish_dataset
Crush your goals this year,neutral,context_dataset
ఈ బిహారీలు మన నగరాన్ని మురికి చేస్తున్నారు,hate,telugu_dataset
She slayed the competition in the debate,neutral,english_dataset
I want to see every one of them suffer,hate,english_dataset
चुप हो जा गधे,offensive,hindi_hinglish_dataset
"coding in Python nerchukuntunnanu, very interesting",neutral,telugu_dataset
uski performance ne sabka dil jeet liya,neutral,context_dataset
ये लोग गंदी नाली के कीड़े हैं,hate,hindi_hinglish_dataset
ee movie chuste chala inspire avtham,neutral,telugu_dataset
ye bihari log hamare city ganda kar rahe hain,hate,hindi_hinglish_dataset
Just finished reading an amazing book,neutral,english_dataset
সবার সমান সুযোগ পাওয়া উচিত,neutral,bengali_dataset
sabko pyaar aur samman do,neutral,hindi_hinglish_dataset
একসাথে কাজ করলে সব সম্ভব,neutral,bengali_dataset
కుటుంబంతో సమయం గడపడం బాగుంటుంది,neutral,telugu_dataset
Women shouldn't be allowed to vote,hate,english_dataset
ee bhojanam tini chachchipotha,offensive,telugu_dataset
These foreigners are polluting our gene pool,hate,english_dataset
nee presentation lo data chala impressive undi,neutral,telugu_dataset
We need ethnic cleansing in this country,hate,english_dataset
Trans people are mentally ill freaks,hate,english_dataset
গান শুনলে মন ভালো হয়ে যায়,neutral,bengali_dataset
জীবন খুব সুন্দর,neutral,bengali_dataset
ye gaana sunke kaan se khoon aa gaya,offensive,hindi_hinglish_dataset
You clearly have no idea what you're talking about,offensive,english_dataset
"Stay strong, you can get through this difficult time",neutral,english_dataset
হিন্দুরা সব গোমূত্র পান করে,hate,bengali_dataset
ye log insaan nahi janwar hain,hate,hindi_hinglish_dataset
కొత్త పుస్తకం చదివి చాలా బాగుంది,neutral,telugu_dataset
"You don't belong here, go die somewhere else",hate,english_dataset
I'm dying to try that new restaurant downtown,neutral,english_dataset
nee kante chetta inkevaru leru,offensive,telugu_dataset
Certain races are just naturally less intelligent,hate,english_dataset
ముస్లింలు అందరూ దేశద్రోహులు,hate,telugu_dataset
ये लोग इंसान नहीं जानवर हैं,hate,hindi_hinglish_dataset
aadavallaku buddhi undadu,hate,telugu_dataset
tujhse bada wahiyat koi nahi,offensive,hindi_hinglish_dataset
Kindness costs nothing but means everything,neutral,english_dataset
तुम्हारा समुदाय कैंसर है समाज का,hate,hindi_hinglish_dataset
We need to cleanse our nation of these parasites,hate,english_dataset
